Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,128,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,66,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,120,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,141,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,267,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,95,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,3036,158,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,168,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,349,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200,70,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,2500,109,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3073,200,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,1853,114,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299,17,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,4950,125,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596,100,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,3510,76,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,4887,133,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,2600,115,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660,104,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,5955,315,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,2600,116,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,3365,112,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,3717,151,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,9560,191,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,2799,122,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,110,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442,35,360,1,Urban,N
LP001087,Female,No,2,Graduate,,3750,120,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,4166,201,360,,Urban,N
LP001095,Male,No,0,Graduate,No,3167,74,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,4692,106,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500,114,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,12500,320,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,2275,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,1828,100,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,3667,144,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,4166,184,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,3748,110,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3600,80,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,1800,47,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,2400,75,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941,134,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695,96,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,3410,88,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,5649,44,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821,144,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645,120,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,4000,144,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928,100,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3086,120,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230,112,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,4616,134,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,11500,286,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708,97,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132,96,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366,135,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,8080,180,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357,144,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,2500,120,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,3029,99,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609,165,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,4945,,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,4166,116,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,5726,258,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,3200,126,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,10750,312,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,125,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,4300,136,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,3208,172,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,97,360,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,3500,81,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,95,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,187,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3750,113,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,3750,176,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,1000,110,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,3167,180,300,0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,130,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3846,111,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,1378,167,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,6000,265,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,3988,50,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,2366,136,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,99,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,2500,104,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,8566,210,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,5695,175,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,2958,131,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,6250,188,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,3273,81,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,4133,122,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,3620,25,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,6782,,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,2484,137,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1977,50,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,4188,115,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,1759,131,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,133,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,4843,151,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,13650,,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,4652,,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,3816,160,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,3052,100,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,11417,225,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,7333,120,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,3800,216,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,2071,94,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,5316,136,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,2929,139,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,3572,152,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,7451,,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,5050,118,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,14583,185,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,3167,154,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,2214,85,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,5568,175,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,10408,259,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,5667,180,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,4166,44,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,2137,137,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,2957,81,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,194,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,3692,93,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,23803,370,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,3865,,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,160,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,6080,182,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,20166,650,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,2014,74,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,2718,70,360,1,Semiurban,Y
